図書館戦争,,"有川, 浩, 1972-",角川書店,KH67,2011.4,9784043898053
進化計算アルゴリズム入門 : 生物の行動科学から導く最適解,,"大谷, 紀子, 情報工学",オーム社,遺伝的アルゴリズム,2018.6,9784274222382
ウォール街のランダム・ウォーカー : 株式投資の不滅の真理,,"Malkiel, Burton Gordon, 1932-",日本経済新聞出版社,株式相場,2019.7,9784532358235
BERTによる自然言語処理入門 : Transformersを使った実践プログラミング,,ストックマーク株式会社,オーム社,自然言語処理,2021.6,9784274227264
機械学習・深層学習による自然言語処理入門 : scikit-learnとTensorFlowを使った実践プログラミング,,"中山, 光樹, 1991-",マイナビ出版,自然言語処理,2020.2,9784839966607
秘密,,"谷崎, 潤一郎, 1886-1965",立東舎,KH971,2020.9,9784845635351
Python機械学習プログラミング : 達人データサイエンティストによる理論と実践,,"Raschka, Sebastian",インプレス,機械学習,2020.1,9784295010074
水車館の殺人,,"綾辻, 行人, 1960-",講談社,KH73,2008.4,9784062760324
夜は短し歩けよ乙女,,"森見, 登美彦, 1979-",角川書店,KH372,2008.12,9784043878024
上と外,上,"恩田, 陸, 1964-",幻冬舎,KH475,2007.1,9784344410190
上と外,下,"恩田, 陸, 1964-",幻冬舎,KH475,2007.1,9784344410206
スーパーの裏でヤニ吸うふたり.,1,地主,スクウェア・エニックス,Y84,2022.8,9784757580947
スパイ教室,3,竹町,KADOKAWA,KH971,2020.8,9784040737409
文学少女対数学少女,,"陸, 秋槎, 1988-",早川書房,KK491,2020.12.,9784151843518
ベーシックインカムの祈り,,"井上, 真偽",集英社,KH971,2022.1,9784087444452
池袋ウエストゲートパーク,16,"石田, 衣良, 1960-",文芸春秋,KH971,2022.9.10,9784167919337
RE:BEL ROBOTICA 0-レベルロボチカ0-,,"Mika Pikazo, 1993-",新潮社,KH971,2022.1,9784101802510
ボーパルバニー,#2,"江波, 光則",小学館,KH821,2016.4,9784094516067
ボーパルバニー,,"江波, 光則",小学館,KH821,2015.9,9784094515749
グッドモーニングレオン,1,"北郷, 海",フレックスコミックス,Y84,2022.11,9784866752532
宙(そら)に参る.,3,"肋骨, 凹介",リイド社,Y84,2022.11,9784845861415
別冊図書館戦争,2,"有川, 浩, 1972-",角川書店,KH67,2011.8,9784043898107
屈折する星屑,,"江波, 光則",早川書房,KH821,2017.3,9784150312671
空の中,,"有川, 浩, 1972-",角川書店,KH67,2008.6,9784043898015
海の底,,"有川, 浩, 1972-",角川書店,KH67,2009.4,9784043898022
魔法の色を知っているか? = What color is the magic?,,"森, 博嗣",講談社,KH877,2016.1,9784062940139
重力ピエロ,,"伊坂, 幸太郎, 1971-",新潮社,KH196,2006.7,9784101250236
浮雲,,"二葉亭, 四迷, 1864-1909",岩波書店,KH161,2004.1,9784003100714
τになるまで待って = Please stay until τ,,"森, 博嗣",講談社,913.6,2008.7,9784062761079
ロリータ,,"Nabokov, Vladimir Vladimirovich, 1899-1977",新潮社,KS165,2006.11,9784102105023
ペンギン・ハイウェイ,,"森見, 登美彦, 1979-",角川書店,KH877,2012.11,9784041005613
Yの悲劇,,"クイーン,エラリイ",新潮社,933,1987.11,9784102137024
ニューロマンサー,,"Gibson, William",早川書房,KS157,1986,9784150106720
流れ星が消えないうちに,,"橋本, 紡, 1967-",新潮社,KH119,2008.7,9784101351810
パニック・裸の王様,,"開高, 健",新潮社,913.6,1988,9784101128016
コインロッカー・ベイビーズ,,"村上, 竜, 1952-",講談社,KH384,2009.7,9784062764162
屍者の帝国,,"伊藤, 計劃, 1974-2009",河出書房新社,KH844,2014.11,9784309413259
道徳という名の少年,,"桜庭, 一樹, 1971-",角川書店,KH917,2013.3,9784041007501
老人と海,,"Hemingway, Ernest",新潮社,933.7,1970.1,9784102100042
カリフォルニア物語,第1巻,"吉田, 秋生",小学館,726.1,1994.12,9784091910011
私たちは生きているのか? = Are we under the biofeedback?,,"森, 博嗣",講談社,KH877,2017.2,9784062940610
風は青海を渡るのか?,,"森, 博嗣, 1957-",講談社,KH877,2016.6,9784062940368
The 3rd Exhaust = 排気,The 3rd Exhaust-排気,"冲方, 丁",早川書房,913.6,2010.1,9784150310165
赤目姫の潮解 = Lady scarlet eyes and her deliquescence,,"森, 博嗣",講談社,KH877,2016.7,9784062934435
ホテル・ニューハンプシャー,上,"Irving, John, 1942-",新潮社,KS159,1989.1,9784102273036
大いなる眠り,,"Chandler, Raymond, 1888-1959",早川書房,KS153,2014.7,9784150704643
卍(まんじ),,"谷崎, 潤一郎",新潮社,913.6,1969,9784101005089
探偵ガリレオ,,"東野, 圭吾, 1958-",文藝春秋,KH139,2002.2,9784167110079
容疑者Xの献身,,"東野, 圭吾, 1958-",文藝春秋,KH139,2008.8,9784167110123
穴,,"小山田, 浩子",新潮社,913.6,2016.8,9784101205410
阪急電車,,"有川, 浩, 1972-",幻冬舎,KH67,2010.8,9784344415133
予知夢,,"東野, 圭吾, 1958-",文藝春秋,KH139,2003.8,9784167110086
短篇五芒星,,"舞城, 王太郎, 1973-",講談社,KH867,2016.9,9784062934992
Zoo,2,"乙一, 1978-",集英社,KH488,2006.5,9784087460384
塩の街,,"有川, 浩, 1972-",角川書店,KH67,2010.1,9784043898039
僕と先輩のマジカル・ライフ,,"はやみね, かおる, 1964-",角川書店,KH129,2006.12,9784043839018
4TEEN (フォーティーン),,"石田, 衣良",新潮社,913.6,2005.12,9784101250519
コーヒーと恋愛,,"獅子, 文六, 1893-1969",筑摩書房,KH924,2013.4,9784480430496
どくとるマンボウ青春記,,"北, 杜夫, 1927-2011",新潮社,"北, 杜夫, 1927-2011",2000.1,9784101131528
異邦人(いりびと),,"原田, マハ",PHP研究所,KH831,2018.3,9784569768168
サラダ記念日,,"俵, 万智, 1962-",河出書房新社,KH612,1989.1,9784309402499
電波女と青春男,[1],"入間, 人間",アスキー・メディアワークス,KH191,2009.1,9784048674683
内田樹による内田樹,,"内田, 樹, 1950-",文藝春秋,"内田, 樹, 1950-",2017.12,9784167909888
ディスコ探偵水曜日,下巻,"舞城, 王太郎, 1973-",新潮社,KH335,2011.2,9784101186368
ユートピア,,トマス・モア,岩波書店,ユートピア,1978,9784003220214
少女不十分,,"西尾, 維新, 1981-",講談社,KH891,2015.11,9784062932462
幽霊を創出したのは誰か? = Who created the ghost?,,"森, 博嗣",講談社,913.6,2020.6,9784065194836
錬金術師の消失,,"紺野, 天龍, 1985-",早川書房,KH971,2020.12,9784150314637
機甲都市伯林,5,"川上, 稔, 1975-",メディアワークス,KH258,2001.1,9784840219457
